2018-Apr-07 19:53:54 PM [http-nio-8080-exec2018-Apr-07 19:52:35 PM [main] INFO  com.luvai.model.Game - 



 ****************************** Initialising new game ********************************
2018-Apr-07 19:52:35 PM [main] INFO  com.luvai.model.Decks.AdventureDeck - Shuffling adventure deck...
2018-Apr-07 19:52:35 PM [main] INFO  com.luvai.model.Decks.StoryDeck - Shuffling story deck...

2018-Apr-07 19:52:40 PM [http-nio-8080-exec-5] INFO  com.luvai.controller.SocketHandler - New player attempting to connect...
2018-Apr-07 19:52:40 PM [http-nio-8080-exec-5] INFO  com.luvai.controller.SocketHandler - Player from session#0 connected
2018-Apr-07 19:52:42 PM [http-nio-8080-exec-7] INFO  com.luvai.model.Game - Player Player1 is enrolled in the game
2018-Apr-07 19:52:42 PM [http-nio-8080-exec-7] INFO  com.luvai.controller.SocketHandler - Setting up rigged game
2018-Apr-07 19:52:42 PM [http-nio-8080-exec-7] INFO  com.luvai.model.Decks.StoryDeck - Initiating rigged story deck
2018-Apr-07 19:52:44 PM [http-nio-8080-exec-4] INFO  com.luvai.controller.SocketHandler - New player attempting to connect...
2018-Apr-07 19:52:44 PM [http-nio-8080-exec-4] INFO  com.luvai.controller.SocketHandler - Player from session#1 connected
2018-Apr-07 19:52:45 PM [http-nio-8080-exec-5] INFO  com.luvai.model.AI.AbstractAI - Initiating new AI player
2018-Apr-07 19:52:45 PM [http-nio-8080-exec-5] INFO  com.luvai.model.AI.Strategy2 - Assigning new AI Player strategy Strategy2
2018-Apr-07 19:52:45 PM [http-nio-8080-exec-5] INFO  com.luvai.controller.AIController - Player AI_Player_6 is enrolled in the game
2018-Apr-07 19:52:45 PM [http-nio-8080-exec-5] INFO  com.luvai.controller.AIController - There are 2 spots available for AI players
2018-Apr-07 19:52:46 PM [http-nio-8080-exec-10] INFO  com.luvai.controller.SocketHandler - New player attempting to connect...
2018-Apr-07 19:52:46 PM [http-nio-8080-exec-10] INFO  com.luvai.controller.SocketHandler - Player from session#2 connected
2018-Apr-07 19:52:48 PM [http-nio-8080-exec-1] INFO  com.luvai.model.Game - Player Player2 is enrolled in the game
2018-Apr-07 19:52:49 PM [http-nio-8080-exec-10] INFO  com.luvai.controller.SocketHandler - New player attempting to connect...
2018-Apr-07 19:52:49 PM [http-nio-8080-exec-10] INFO  com.luvai.controller.SocketHandler - Player from session#3 connected
2018-Apr-07 19:52:52 PM [http-nio-8080-exec-1] INFO  com.luvai.model.AI.AbstractAI - Initiating new AI player
2018-Apr-07 19:52:52 PM [http-nio-8080-exec-1] INFO  com.luvai.model.AI.Strategy2 - Assigning new AI Player strategy Strategy2
2018-Apr-07 19:52:52 PM [http-nio-8080-exec-1] INFO  com.luvai.controller.AIController - Player AI_Player_559 is enrolled in the game
2018-Apr-07 19:52:52 PM [http-nio-8080-exec-1] INFO  com.luvai.controller.AIController - There are 0 spots available for AI players
2018-Apr-07 19:52:52 PM [http-nio-8080-exec-1] INFO  com.luvai.controller.AIController - All players have joined, starting game...
